Income,Savings,Debt_Status,Investable_Amount,Investment_Term_Months,Risk_Tolerance,Investment_Purpose,Age,Employment_Status,Risk_Capacity_Score,Risk_Tolerance_Score,Final_Risk_Score,Risk_Profile
"25,000 - 49,999",65452,"10,000 - 25,000",17493,28,4,Buying property,32,Employed,30.9,72.6,47.6,Balanced
"50,000 - 74,999",119345,"10,000 - 25,000",31832,119,4,Buying property,53,Student,41.8,78.5,56.4,Balanced
"50,000 - 74,999",106362,"Less than 10,000",12563,95,1,Retirement savings,56,Retired,43.2,0.0,25.9,Conservative
"25,000 - 49,999",83501,No debt,14418,114,3,Wealth accumulation,68,Employed,47.0,48.6,47.6,Balanced
"50,000 - 74,999",67140,No debt,46705,54,4,Wealth accumulation,42,Self-employed,50.1,74.4,59.8,Balanced
"25,000 - 49,999",41268,"Less than 10,000",13616,227,5,Wealth accumulation,30,Employed,41.6,100.0,65.0,Growth
"75,000 - 99,999",80249,"Less than 10,000",28624,57,2,Funding education,42,Self-employed,46.3,11.4,32.3,Conservative
0 - No income / rely on investment returns,19660,No debt,12887,197,3,Wealth accumulation,43,Retired,38.0,50.8,43.2,Balanced
"Less than 25,000",13236,"Over 25,000",9424,76,3,Retirement savings,46,Retired,22.5,44.3,31.2,Conservative
"100,000 or more",234458,No debt,18803,263,2,Retirement savings,61,Retired,71.5,26.6,53.6,Balanced
"75,000 - 99,999",94115,No debt,27943,112,2,Buying property,56,Employed,54.8,19.8,40.8,Balanced
"25,000 - 49,999",39857,"Less than 10,000",13817,79,1,Buying property,65,Employed,35.4,0.0,21.2,Conservative
"50,000 - 74,999",19917,No debt,7096,40,5,Buying property,27,Retired,42.3,98.6,64.9,Growth
"Less than 25,000",32102,No debt,7328,261,3,Retirement savings,52,Employed,46.6,44.7,45.8,Balanced
"Less than 25,000",29609,"Less than 10,000",1659,269,4,Retirement savings,34,Employed,38.5,72.6,52.1,Balanced
"25,000 - 49,999",31320,"10,000 - 25,000",12654,53,1,Funding education,59,Employed,28.7,0.0,17.2,Defensive
"25,000 - 49,999",35032,"Less than 10,000",14562,137,3,Retirement savings,53,Self-employed,37.8,40.8,39.0,Conservative
"25,000 - 49,999",48399,"Less than 10,000",13259,79,3,Buying property,39,Employed,35.8,55.1,43.5,Balanced
"Less than 25,000",24366,"Less than 10,000",4231,139,2,Retirement savings,57,Self-employed,32.8,18.5,27.1,Conservative
"100,000 or more",160346,No debt,86339,85,4,Wealth accumulation,31,Unemployed,65.6,74.1,69.0,Growth
"100,000 or more",82847,"Over 25,000",38160,81,2,Buying property,36,Employed,45.4,28.8,38.8,Conservative
"50,000 - 74,999",76231,No debt,21163,41,3,Buying property,54,Employed,46.1,46.9,46.4,Balanced
"25,000 - 49,999",88484,"Over 25,000",19989,170,4,Wealth accumulation,45,Employed,34.5,70.9,49.1,Balanced
"25,000 - 49,999",48159,"Less than 10,000",3090,111,2,Funding education,55,Student,35.0,26.1,31.5,Conservative
"75,000 - 99,999",110010,"Over 25,000",48462,69,3,Retirement savings,48,Employed,39.4,55.6,45.8,Balanced
"50,000 - 74,999",81679,No debt,52235,128,3,Retirement savings,44,Employed,53.8,44.2,50.0,Balanced
"Less than 25,000",32829,"Less than 10,000",10172,108,2,Buying property,61,Employed,35.2,24.2,30.8,Conservative
"75,000 - 99,999",89039,No debt,50308,38,3,Funding education,28,Retired,54.1,41.3,49.0,Balanced
"75,000 - 99,999",69192,No debt,35508,118,2,Funding education,52,Employed,55.8,23.0,42.7,Balanced
"100,000 or more",129918,"Less than 10,000",35255,168,2,Retirement savings,68,Retired,59.1,25.2,45.5,Balanced
"50,000 - 74,999",61242,No debt,29175,79,2,Funding education,44,Student,48.5,20.7,37.4,Conservative
"50,000 - 74,999",152859,"Less than 10,000",75608,134,2,Funding education,48,Employed,52.4,22.7,40.5,Balanced
"25,000 - 49,999",73580,No debt,59476,233,3,Wealth accumulation,56,Retired,57.0,43.0,51.4,Balanced
"100,000 or more",58264,No debt,32518,49,1,Funding education,65,Employed,60.1,0.4,36.2,Conservative
"75,000 - 99,999",45787,"10,000 - 25,000",24226,167,4,Wealth accumulation,60,Student,45.6,80.3,59.5,Balanced
0 - No income / rely on investment returns,16123,"Less than 10,000",7733,53,3,Wealth accumulation,58,Self-employed,23.7,44.5,32.0,Conservative
0 - No income / rely on investment returns,14123,"10,000 - 25,000",5022,152,2,Retirement savings,60,Student,21.2,21.9,21.5,Conservative
"25,000 - 49,999",44755,"Less than 10,000",4759,134,2,Funding education,26,Employed,35.9,27.5,32.6,Conservative
"75,000 - 99,999",127506,"10,000 - 25,000",62740,215,3,Wealth accumulation,39,Employed,52.0,56.1,53.6,Balanced
"100,000 or more",141071,No debt,17671,73,3,Wealth accumulation,58,Employed,60.2,42.5,53.1,Balanced
"Less than 25,000",38097,"10,000 - 25,000",8433,207,1,Retirement savings,60,Employed,34.9,0.0,21.0,Conservative
"25,000 - 49,999",101079,"Over 25,000",53331,207,5,Wealth accumulation,30,Employed,40.8,100.0,64.5,Growth
"25,000 - 49,999",24492,"10,000 - 25,000",10838,110,3,Retirement savings,63,Employed,30.6,49.5,38.1,Conservative
"100,000 or more",126896,No debt,91453,78,2,Retirement savings,66,Employed,65.7,12.6,44.5,Balanced
"75,000 - 99,999",68927,"Less than 10,000",20415,91,3,Buying property,36,Employed,46.5,52.5,48.9,Balanced
"75,000 - 99,999",188727,"Less than 10,000",161546,120,4,Buying property,27,Retired,60.2,82.6,69.1,Growth
"25,000 - 49,999",16250,"Less than 10,000",8708,125,2,Retirement savings,69,Employed,36.0,25.6,31.8,Conservative
"25,000 - 49,999",16611,No debt,2974,48,2,Funding education,42,Employed,35.3,19.8,29.1,Conservative
"Less than 25,000",38078,No debt,20409,248,2,Retirement savings,64,Employed,50.8,22.4,39.4,Conservative
"Less than 25,000",57425,"10,000 - 25,000",23171,144,3,Funding education,45,Employed,39.5,58.8,47.2,Balanced
"75,000 - 99,999",135532,No debt,16183,193,4,Wealth accumulation,39,Unemployed,58.8,79.5,67.1,Growth
"75,000 - 99,999",61688,"Less than 10,000",51212,133,3,Wealth accumulation,57,Employed,53.1,53.2,53.2,Balanced
"100,000 or more",255854,No debt,127025,53,1,Buying property,59,Retired,67.8,1.8,41.4,Balanced
"100,000 or more",65083,"Less than 10,000",3848,305,3,Retirement savings,50,Unemployed,60.0,46.7,54.7,Balanced
"25,000 - 49,999",94306,No debt,11629,111,4,Buying property,32,Retired,47.9,74.0,58.3,Balanced
"50,000 - 74,999",40725,No debt,18820,295,2,Retirement savings,60,Self-employed,55.7,24.6,43.3,Balanced
"100,000 or more",101036,"Over 25,000",59072,92,3,Retirement savings,54,Retired,47.9,52.7,49.8,Balanced
"75,000 - 99,999",126750,"10,000 - 25,000",22176,300,3,Retirement savings,47,Unemployed,52.3,57.5,54.4,Balanced
"Less than 25,000",15709,"10,000 - 25,000",5600,109,2,Wealth accumulation,66,Self-employed,26.0,30.6,27.8,Conservative
"25,000 - 49,999",102239,"Less than 10,000",65145,117,2,Wealth accumulation,68,Self-employed,48.3,17.9,36.1,Conservative
"Less than 25,000",27340,"10,000 - 25,000",5039,42,2,Buying property,38,Self-employed,24.7,26.1,25.3,Conservative
"100,000 or more",129028,"Less than 10,000",54193,94,2,Buying property,38,Employed,57.5,28.7,46.0,Balanced
"50,000 - 74,999",126163,"Less than 10,000",31585,275,3,Retirement savings,26,Self-employed,53.6,53.1,53.4,Balanced
"Less than 25,000",21994,No debt,3888,114,1,Funding education,61,Employed,37.1,0.0,22.3,Conservative
"50,000 - 74,999",119926,"Less than 10,000",36928,204,5,Wealth accumulation,29,Employed,50.8,100.0,70.5,Growth
"50,000 - 74,999",160251,"10,000 - 25,000",86579,357,3,Retirement savings,62,Employed,57.7,43.6,52.1,Balanced
"25,000 - 49,999",35340,"Over 25,000",4146,239,2,Retirement savings,69,Employed,29.2,19.6,25.3,Conservative
"Less than 25,000",64847,No debt,28789,151,2,Wealth accumulation,65,Employed,53.2,26.2,42.4,Balanced
"50,000 - 74,999",29258,"10,000 - 25,000",17644,27,3,Buying property,38,Employed,34.0,60.6,44.6,Balanced
"25,000 - 49,999",59597,"Less than 10,000",23671,39,4,Wealth accumulation,63,Self-employed,36.9,70.8,50.5,Balanced
"50,000 - 74,999",38174,"Less than 10,000",20325,40,4,Wealth accumulation,49,Employed,39.6,73.7,53.2,Balanced
"25,000 - 49,999",78578,No debt,27727,76,4,Wealth accumulation,44,Retired,46.6,80.4,60.1,Growth
"75,000 - 99,999",141572,No debt,98307,143,3,Funding education,26,Employed,62.8,49.9,57.6,Balanced
"25,000 - 49,999",138586,"Less than 10,000",40709,176,2,Retirement savings,63,Employed,52.2,23.3,40.7,Balanced
"25,000 - 49,999",99828,No debt,64140,136,3,Funding education,30,Retired,54.8,52.8,54.0,Balanced
"75,000 - 99,999",84749,"Less than 10,000",44689,72,3,Retirement savings,41,Self-employed,48.9,51.4,49.9,Balanced
"25,000 - 49,999",28557,"10,000 - 25,000",18683,49,3,Funding education,49,Employed,30.7,55.2,40.5,Balanced
"Less than 25,000",43388,"Less than 10,000",2625,95,3,Funding education,52,Student,35.1,56.5,43.7,Balanced
0 - No income / rely on investment returns,16695,"Over 25,000",2719,95,4,Buying property,26,Student,12.4,76.5,38.0,Conservative
"50,000 - 74,999",153247,No debt,58549,340,2,Retirement savings,59,Employed,65.8,26.5,50.1,Balanced
"50,000 - 74,999",23885,No debt,3443,150,3,Wealth accumulation,61,Employed,45.1,51.1,47.5,Balanced
"50,000 - 74,999",210714,"Less than 10,000",117442,295,4,Retirement savings,29,Unemployed,64.4,77.4,69.6,Growth
"Less than 25,000",42663,No debt,23289,117,2,Funding education,25,Self-employed,46.7,25.3,38.1,Conservative
"Less than 25,000",21776,"Less than 10,000",8267,33,3,Buying property,64,Employed,29.7,50.0,37.8,Conservative
0 - No income / rely on investment returns,24840,No debt,7552,234,4,Wealth accumulation,36,Retired,36.9,81.0,54.6,Balanced
"25,000 - 49,999",93833,No debt,18984,311,2,Retirement savings,60,Employed,56.9,32.6,47.2,Balanced
"25,000 - 49,999",51934,"10,000 - 25,000",13666,109,3,Retirement savings,69,Employed,32.4,42.5,36.4,Conservative
"25,000 - 49,999",20294,No debt,2118,79,2,Funding education,47,Employed,36.3,25.1,31.8,Conservative
"25,000 - 49,999",42346,"Less than 10,000",18745,201,3,Retirement savings,55,Retired,41.8,46.6,43.7,Balanced
"75,000 - 99,999",154823,No debt,32303,330,2,Retirement savings,35,Self-employed,66.5,23.4,49.3,Balanced
"25,000 - 49,999",62874,"Less than 10,000",17048,39,4,Buying property,34,Self-employed,36.1,77.0,52.5,Balanced
"25,000 - 49,999",45356,No debt,5455,37,3,Funding education,27,Employed,38.1,53.3,44.2,Balanced
"50,000 - 74,999",135725,"10,000 - 25,000",38704,65,2,Funding education,38,Employed,41.0,24.4,34.4,Conservative
"25,000 - 49,999",70984,"Less than 10,000",52185,65,2,Funding education,40,Employed,42.9,15.4,31.9,Conservative
"50,000 - 74,999",106127,No debt,4059,117,5,Wealth accumulation,34,Retired,49.3,95.2,67.7,Growth
"75,000 - 99,999",74983,"Less than 10,000",5515,66,5,Wealth accumulation,53,Employed,43.5,100.0,66.1,Growth
"100,000 or more",93476,No debt,35979,143,2,Funding education,34,Employed,63.7,11.3,42.7,Balanced
"Less than 25,000",13976,"Less than 10,000",1885,112,2,Funding education,36,Student,28.4,30.9,29.4,Conservative
"100,000 or more",105816,No debt,55416,207,2,Retirement savings,54,Employed,68.3,27.6,52.0,Balanced
"25,000 - 49,999",78296,"Over 25,000",32574,236,1,Retirement savings,65,Unemployed,37.8,6.6,25.3,Conservative
"Less than 25,000",29526,No debt,16255,58,3,Buying property,25,Employed,40.6,49.0,44.0,Balanced
"25,000 - 49,999",61287,"Less than 10,000",28411,46,5,Buying property,29,Self-employed,38.1,89.7,58.7,Balanced
"100,000 or more",209977,No debt,49872,141,3,Funding education,44,Employed,67.0,52.2,61.1,Growth
"25,000 - 49,999",59099,No debt,5912,132,3,Funding education,32,Student,43.7,56.4,48.8,Balanced
"25,000 - 49,999",62057,"Less than 10,000",35982,289,2,Retirement savings,67,Employed,49.5,29.6,41.5,Balanced
"50,000 - 74,999",35786,"Over 25,000",18808,134,2,Funding education,36,Employed,33.2,21.7,28.6,Conservative
"Less than 25,000",27828,No debt,6542,135,3,Funding education,25,Employed,40.2,50.4,44.3,Balanced
"Less than 25,000",77529,No debt,42896,84,3,Buying property,44,Employed,55.1,47.3,52.0,Balanced
"Less than 25,000",34440,"Less than 10,000",19186,107,3,Buying property,52,Employed,38.1,45.9,41.2,Balanced
"Less than 25,000",84412,No debt,45305,90,1,Funding education,67,Unemployed,57.1,4.8,36.1,Conservative
"Less than 25,000",22777,No debt,10083,254,2,Retirement savings,61,Employed,45.8,19.0,35.1,Conservative
"Less than 25,000",36756,"Less than 10,000",13358,67,3,Retirement savings,61,Retired,35.1,45.5,39.3,Conservative
"50,000 - 74,999",58272,No debt,40076,75,2,Funding education,36,Self-employed,50.2,19.5,37.9,Conservative
"Less than 25,000",43962,No debt,22501,187,2,Retirement savings,61,Self-employed,49.6,17.5,36.8,Conservative
"25,000 - 49,999",76731,"10,000 - 25,000",34902,67,1,Funding education,68,Employed,36.0,0.7,21.9,Conservative
"75,000 - 99,999",124439,No debt,73466,152,3,Retirement savings,52,Employed,61.1,55.8,59.0,Balanced
"25,000 - 49,999",82577,No debt,53367,30,3,Buying property,39,Retired,48.1,49.1,48.5,Balanced
"50,000 - 74,999",70097,No debt,15400,25,4,Buying property,30,Unemployed,44.4,67.5,53.6,Balanced
"Less than 25,000",29727,"10,000 - 25,000",16206,120,4,Wealth accumulation,68,Employed,32.2,79.2,51.0,Balanced
"Less than 25,000",13575,"Less than 10,000",9510,169,4,Wealth accumulation,44,Employed,36.3,83.4,55.2,Balanced
0 - No income / rely on investment returns,23681,"Less than 10,000",13918,279,2,Retirement savings,38,Employed,35.4,21.8,30.0,Conservative
"Less than 25,000",35638,No debt,14832,141,5,Wealth accumulation,26,Unemployed,44.4,97.6,65.7,Growth
"Less than 25,000",31607,"Less than 10,000",18926,59,4,Buying property,33,Employed,35.7,77.6,52.5,Balanced
"Less than 25,000",29723,"Less than 10,000",5825,67,1,Funding education,61,Employed,31.5,8.1,22.1,Conservative
"Less than 25,000",32101,"10,000 - 25,000",6470,104,4,Retirement savings,44,Student,28.8,72.4,46.2,Balanced
"Less than 25,000",29055,"10,000 - 25,000",21425,77,4,Wealth accumulation,50,Employed,32.2,68.3,46.6,Balanced
"25,000 - 49,999",37667,"Less than 10,000",8484,68,2,Retirement savings,53,Employed,33.4,28.2,31.3,Conservative
"Less than 25,000",36860,"Less than 10,000",23642,238,5,Wealth accumulation,25,Self-employed,45.1,100.0,67.0,Growth
"25,000 - 49,999",62482,No debt,12163,146,2,Retirement savings,59,Student,45.7,25.0,37.4,Conservative
"25,000 - 49,999",33365,No debt,19674,98,3,Buying property,30,Employed,43.7,47.2,45.1,Balanced
"50,000 - 74,999",57749,No debt,36620,236,2,Retirement savings,61,Employed,56.3,30.0,45.8,Balanced
0 - No income / rely on investment returns,15536,No debt,8648,37,2,Funding education,29,Employed,29.7,27.6,28.9,Conservative
"50,000 - 74,999",70730,"10,000 - 25,000",27453,254,2,Retirement savings,57,Employed,44.7,21.2,35.3,Conservative
"50,000 - 74,999",66180,"Less than 10,000",45084,46,3,Funding education,38,Self-employed,43.6,50.2,46.2,Balanced
"Less than 25,000",45476,"Less than 10,000",23763,181,3,Retirement savings,36,Employed,43.9,43.2,43.6,Balanced
"75,000 - 99,999",40302,"Less than 10,000",8171,294,3,Retirement savings,66,Employed,52.3,53.4,52.8,Balanced
"100,000 or more",57620,"Less than 10,000",42687,98,2,Buying property,44,Employed,57.9,23.7,44.2,Balanced
"Less than 25,000",36021,No debt,23757,66,5,Wealth accumulation,48,Self-employed,43.9,97.8,65.4,Growth
"Less than 25,000",24191,"10,000 - 25,000",4811,127,1,Funding education,67,Employed,27.5,0.0,16.5,Defensive
"75,000 - 99,999",143266,No debt,78398,283,2,Retirement savings,58,Student,67.2,25.2,50.4,Balanced
"50,000 - 74,999",126643,"10,000 - 25,000",44774,212,4,Retirement savings,49,Employed,47.1,79.5,60.0,Growth
"Less than 25,000",36752,"10,000 - 25,000",20720,271,3,Retirement savings,53,Retired,40.6,53.0,45.6,Balanced
"Less than 25,000",19131,"10,000 - 25,000",11574,127,4,Wealth accumulation,63,Retired,30.2,74.2,47.8,Balanced
"25,000 - 49,999",83104,"Less than 10,000",3655,188,5,Wealth accumulation,55,Employed,42.8,100.0,65.7,Growth
"25,000 - 49,999",54177,No debt,4709,188,2,Retirement savings,67,Employed,45.3,27.0,38.0,Conservative
"50,000 - 74,999",33549,"Less than 10,000",2663,256,3,Retirement savings,47,Employed,43.7,47.9,45.3,Balanced
"25,000 - 49,999",24374,"Less than 10,000",5354,237,2,Wealth accumulation,68,Employed,38.6,24.4,32.9,Conservative
"25,000 - 49,999",104719,"Less than 10,000",72402,77,3,Wealth accumulation,62,Employed,47.5,49.3,48.2,Balanced
"50,000 - 74,999",138662,"10,000 - 25,000",19405,145,4,Wealth accumulation,44,Employed,43.1,77.5,56.9,Balanced
0 - No income / rely on investment returns,4888,"Less than 10,000",2582,197,4,Wealth accumulation,47,Employed,28.3,73.2,46.2,Balanced
"Less than 25,000",16584,"Less than 10,000",14722,287,2,Retirement savings,69,Retired,43.9,23.0,35.6,Conservative
"50,000 - 74,999",124823,No debt,24762,253,4,Retirement savings,40,Employed,58.1,84.8,68.8,Growth
"75,000 - 99,999",91225,No debt,39768,77,1,Retirement savings,66,Retired,54.6,4.7,34.6,Conservative
"25,000 - 49,999",69667,"Less than 10,000",33669,112,3,Funding education,32,Employed,42.2,46.2,43.8,Balanced
"25,000 - 49,999",47552,"10,000 - 25,000",10207,302,4,Retirement savings,45,Student,39.4,77.9,54.8,Balanced
"Less than 25,000",45358,"10,000 - 25,000",38019,28,4,Buying property,25,Self-employed,35.6,75.6,51.6,Balanced
"25,000 - 49,999",49191,"10,000 - 25,000",28333,55,2,Funding education,32,Employed,32.9,27.0,30.6,Conservative
"25,000 - 49,999",39409,"10,000 - 25,000",11247,186,2,Retirement savings,53,Self-employed,34.2,25.7,30.8,Conservative
"Less than 25,000",55518,"10,000 - 25,000",42341,134,1,Retirement savings,56,Employed,42.1,5.9,27.7,Conservative
"Less than 25,000",36175,No debt,13642,121,2,Retirement savings,62,Employed,43.4,26.7,36.7,Conservative
"25,000 - 49,999",67965,"10,000 - 25,000",15596,117,4,Buying property,29,Student,34.6,74.7,50.6,Balanced
0 - No income / rely on investment returns,18619,No debt,2608,67,5,Wealth accumulation,46,Employed,27.3,100.0,56.4,Balanced
"25,000 - 49,999",38460,No debt,9047,221,3,Wealth accumulation,58,Employed,46.0,51.2,48.1,Balanced
"Less than 25,000",73078,"10,000 - 25,000",22839,73,4,Buying property,25,Retired,40.0,75.6,54.2,Balanced
"25,000 - 49,999",58574,No debt,16959,73,2,Funding education,50,Student,43.1,26.6,36.5,Conservative
"Less than 25,000",27380,No debt,7406,242,2,Retirement savings,67,Self-employed,44.9,24.5,36.7,Conservative
"75,000 - 99,999",174469,No debt,37481,51,5,Buying property,34,Employed,56.1,100.0,73.6,Growth
"25,000 - 49,999",25340,No debt,8997,306,3,Retirement savings,54,Self-employed,49.0,47.1,48.2,Balanced
"50,000 - 74,999",215857,"Over 25,000",132556,116,2,Funding education,42,Employed,47.9,21.2,37.2,Conservative
"50,000 - 74,999",64515,No debt,28710,57,4,Wealth accumulation,41,Retired,47.5,70.0,56.5,Balanced
"25,000 - 49,999",26018,No debt,8465,155,4,Retirement savings,50,Unemployed,42.5,68.0,52.7,Balanced
"Less than 25,000",84801,"Less than 10,000",30583,181,4,Retirement savings,32,Retired,53.2,70.6,60.2,Growth
"25,000 - 49,999",38908,"Less than 10,000",28426,309,2,Retirement savings,64,Student,48.7,24.1,38.9,Conservative
"25,000 - 49,999",55391,"Over 25,000",9390,87,2,Funding education,36,Employed,26.1,25.5,25.8,Conservative
"50,000 - 74,999",101020,No debt,73506,196,2,Retirement savings,51,Retired,59.1,23.6,44.9,Balanced
"25,000 - 49,999",88667,"Less than 10,000",40697,56,5,Wealth accumulation,32,Retired,42.2,88.2,60.6,Growth
"Less than 25,000",37986,"10,000 - 25,000",14948,99,1,Funding education,49,Employed,32.1,7.9,22.4,Conservative
"Less than 25,000",23657,"Over 25,000",3845,111,1,Funding education,70,Student,21.3,5.4,15.0,Defensive
"25,000 - 49,999",54724,"Less than 10,000",36527,84,4,Buying property,28,Employed,40.8,77.2,55.4,Balanced
"50,000 - 74,999",57215,"10,000 - 25,000",20258,309,2,Retirement savings,57,Self-employed,45.5,34.5,41.1,Balanced
"25,000 - 49,999",55551,No debt,21485,117,4,Buying property,25,Retired,45.5,70.1,55.3,Balanced
"25,000 - 49,999",110706,"Less than 10,000",67111,130,2,Funding education,43,Self-employed,49.7,34.4,43.6,Balanced
"100,000 or more",175802,No debt,63240,75,1,Funding education,55,Employed,64.0,0.0,38.4,Conservative
"50,000 - 74,999",78241,"10,000 - 25,000",34951,91,1,Funding education,40,Self-employed,39.1,1.2,23.9,Conservative
"Less than 25,000",47303,No debt,19612,39,4,Wealth accumulation,38,Employed,43.4,68.6,53.5,Balanced
"Less than 25,000",49027,No debt,15772,66,3,Funding education,29,Student,44.1,50.1,46.5,Balanced
"Less than 25,000",19075,"Less than 10,000",12245,214,2,Retirement savings,65,Employed,39.1,26.9,34.3,Conservative
"Less than 25,000",33388,No debt,14045,245,2,Retirement savings,50,Employed,48.2,24.2,38.6,Conservative
"Less than 25,000",117755,No debt,40130,128,4,Retirement savings,52,Retired,58.2,78.6,66.4,Growth
"Less than 25,000",59964,"Over 25,000",2677,93,4,Buying property,26,Employed,29.5,75.5,47.9,Balanced
"Less than 25,000",25422,"Less than 10,000",16660,320,3,Retirement savings,30,Self-employed,45.4,47.4,46.2,Balanced
"Less than 25,000",24185,"10,000 - 25,000",6300,174,3,Retirement savings,33,Self-employed,30.1,47.2,36.9,Conservative
"75,000 - 99,999",66975,"Less than 10,000",51123,126,2,Funding education,57,Student,52.5,29.1,43.1,Balanced
"Less than 25,000",50425,"Less than 10,000",28014,43,1,Funding education,65,Self-employed,39.9,0.0,23.9,Conservative
"25,000 - 49,999",109577,No debt,64095,324,3,Retirement savings,49,Employed,63.4,54.6,59.9,Balanced
"25,000 - 49,999",65620,No debt,19345,50,2,Funding education,37,Employed,43.1,31.1,38.3,Conservative
"100,000 or more",130318,No debt,74840,30,4,Buying property,33,Employed,62.4,66.7,64.1,Growth
"Less than 25,000",26187,"10,000 - 25,000",16269,107,4,Wealth accumulation,37,Employed,31.4,80.7,51.1,Balanced
"25,000 - 49,999",57829,"Less than 10,000",24948,38,3,Buying property,55,Employed,37.0,60.3,46.3,Balanced
"100,000 or more",79944,No debt,16321,224,2,Retirement savings,65,Self-employed,64.7,26.3,49.3,Balanced
"75,000 - 99,999",34977,"Less than 10,000",5093,106,2,Buying property,35,Retired,43.6,28.0,37.4,Conservative
"75,000 - 99,999",208720,"Over 25,000",49678,62,5,Buying property,28,Employed,42.7,100.0,65.6,Growth
"Less than 25,000",19775,"10,000 - 25,000",4209,193,2,Retirement savings,58,Retired,29.2,23.6,26.9,Conservative
"Less than 25,000",27796,"10,000 - 25,000",1411,92,3,Wealth accumulation,62,Unemployed,25.6,50.9,35.7,Conservative
"50,000 - 74,999",97969,"10,000 - 25,000",14170,151,3,Retirement savings,70,Retired,40.1,43.4,41.5,Balanced
"100,000 or more",246813,No debt,87743,116,5,Wealth accumulation,28,Self-employed,68.7,100.0,81.2,Aggressive
"25,000 - 49,999",55777,"10,000 - 25,000",9694,42,3,Buying property,62,Employed,29.3,52.5,38.6,Conservative
"25,000 - 49,999",27003,No debt,19019,86,4,Buying property,43,Employed,43.5,77.6,57.1,Balanced
"Less than 25,000",28125,"10,000 - 25,000",11022,54,5,Buying property,30,Employed,27.5,100.0,56.5,Balanced
"50,000 - 74,999",50261,"Less than 10,000",8855,69,2,Retirement savings,58,Employed,38.2,21.1,31.4,Conservative
"Less than 25,000",32080,No debt,15997,110,3,Buying property,42,Student,43.0,47.3,44.7,Balanced
"25,000 - 49,999",90812,"10,000 - 25,000",64546,102,4,Wealth accumulation,37,Retired,41.9,84.5,58.9,Balanced
"25,000 - 49,999",13792,"Over 25,000",8062,97,1,Funding education,65,Employed,25.0,0.0,15.0,Defensive
"25,000 - 49,999",39929,No debt,12956,166,3,Wealth accumulation,47,Employed,44.8,51.0,47.3,Balanced
"Less than 25,000",25669,"10,000 - 25,000",4031,181,5,Wealth accumulation,43,Retired,29.7,99.7,57.7,Balanced
"Less than 25,000",17443,No debt,3489,188,3,Wealth accumulation,69,Employed,39.2,45.9,41.9,Balanced
"50,000 - 74,999",94558,"Less than 10,000",77441,43,4,Buying property,35,Employed,47.1,83.1,61.5,Growth
"Less than 25,000",16116,"Less than 10,000",2805,81,3,Buying property,25,Student,28.1,47.4,35.8,Conservative
"25,000 - 49,999",25606,"Less than 10,000",17199,237,2,Retirement savings,48,Employed,43.3,19.4,33.7,Conservative
"Less than 25,000",50042,"Over 25,000",13026,102,4,Buying property,31,Employed,29.3,72.7,46.7,Balanced
"25,000 - 49,999",103865,"10,000 - 25,000",59617,325,3,Retirement savings,49,Employed,51.6,40.0,46.9,Balanced
"25,000 - 49,999",47217,"10,000 - 25,000",29801,208,3,Retirement savings,45,Student,39.6,46.7,42.5,Balanced
"Less than 25,000",17790,"Less than 10,000",7571,306,3,Retirement savings,39,Self-employed,40.4,45.2,42.3,Balanced
"25,000 - 49,999",34467,"Over 25,000",20512,64,4,Wealth accumulation,25,Employed,26.5,78.1,47.2,Balanced
"Less than 25,000",54127,No debt,29251,131,4,Wealth accumulation,36,Employed,50.4,71.6,58.9,Balanced
"Less than 25,000",34659,"Over 25,000",15061,33,4,Buying property,31,Employed,23.8,79.4,46.1,Balanced
"100,000 or more",114534,No debt,27751,48,2,Funding education,39,Self-employed,59.2,32.0,48.3,Balanced
"25,000 - 49,999",57359,No debt,8831,70,3,Buying property,45,Retired,41.5,53.9,46.4,Balanced
"75,000 - 99,999",90355,"Less than 10,000",12684,46,3,Buying property,43,Employed,44.3,48.9,46.1,Balanced
"Less than 25,000",70824,No debt,8174,109,2,Retirement savings,53,Student,49.9,25.7,40.2,Balanced
"50,000 - 74,999",48516,No debt,25997,274,3,Retirement savings,49,Employed,56.2,42.4,50.7,Balanced
"50,000 - 74,999",45809,No debt,10190,191,1,Retirement savings,57,Employed,49.4,0.0,29.6,Conservative
"25,000 - 49,999",24559,No debt,11245,102,1,Funding education,56,Employed,41.4,0.0,24.8,Conservative
"25,000 - 49,999",37442,No debt,16001,120,1,Funding education,59,Employed,43.6,3.5,27.5,Conservative
"25,000 - 49,999",28412,No debt,15395,112,3,Retirement savings,68,Employed,43.2,62.9,51.1,Balanced
"25,000 - 49,999",54698,"Less than 10,000",7925,165,4,Wealth accumulation,62,Employed,39.0,77.5,54.4,Balanced
"100,000 or more",121738,No debt,24363,252,3,Retirement savings,50,Employed,67.6,40.0,56.6,Balanced
"75,000 - 99,999",53680,"Less than 10,000",10420,114,2,Funding education,35,Self-employed,45.5,23.2,36.6,Conservative
"100,000 or more",161736,No debt,45774,116,2,Retirement savings,59,Employed,64.4,25.6,48.9,Balanced
"Less than 25,000",69808,"Over 25,000",30601,156,4,Retirement savings,32,Retired,38.8,75.4,53.4,Balanced
"50,000 - 74,999",84385,"10,000 - 25,000",32979,257,2,Retirement savings,70,Unemployed,45.9,21.3,36.1,Conservative
"100,000 or more",33772,No debt,9193,42,3,Funding education,38,Employed,55.9,51.2,54.0,Balanced
